,target_name,mass,radius,semi_major_axis,detection_type
389,HR 8799 d,8.3,1.2,27.0,Imaging
390,HR 8799 e,9.6,1.17,16.4,Imaging
391,ITG 15B,9.0,,,Imaging
392,ITG 25B,18.0,,,Imaging
393,J1324+63,11.5,1.23,,Imaging
394,K2-10 b,0.08495,0.343,,Primary Transit
395,K2-105 b,0.094,0.301,0.0796,Primary Transit
396,K2-106 b,0.0263,0.162,0.0134,Primary Transit
397,K2-106 c,0.018,0.244,0.1091,Primary Transit
398,K2-107 b,0.84,1.426,0.0475,Primary Transit
399,K2-108 b,0.187,0.476,0.0581,Primary Transit
400,K2-110 b,0.0525,0.228,0.1027,Primary Transit
401,K2-111 b,0.01664,0.162,0.057,Primary Transit
402,K2-113 b,1.28,1.083,0.0642,Primary Transit
403,K2-114 b,1.85,0.952,0.0954,Primary Transit
404,K2-124 b,0.033,0.259,0.049,Primary Transit
405,K2-137 b,0.5,0.079,0.0058,Primary Transit
406,K2-132 b,0.49,1.3,0.0916,Primary Transit
407,K2-133 b,0.0069,0.12,0.03194,Primary Transit
408,K2-133 c,0.01,0.143,0.04341,Primary Transit
409,K2-133 d,0.026,0.179,0.07487,Primary Transit
410,K2-138 b,0.0098,0.14,0.0338,Primary Transit
411,K2-138 c,0.0198,0.225,0.04454,Primary Transit
412,K2-138 d,0.0249,0.237,0.05883,Primary Transit
413,K2-138 e,0.0409,0.294,0.07807,Primary Transit
414,K2-138 f,0.005,0.251,0.1043,Primary Transit
415,K2-138 g,0.0135,0.2688,0.231,Primary Transit
416,K2-139 b,0.381,0.813,0.1796,Primary Transit
417,K2-140 b,0.93,1.093,0.0687,Primary Transit
418,K2-141 b,0.01598,0.135,,Primary Transit
419,K2-141 c,0.02328,0.624,,Primary Transit
420,K2-146 b,0.01816,0.183,0.027,Primary Transit
421,K2-146 c,0.02358,0.195,0.034,Primary Transit
422,K2-155 b,0.0148,0.161,0.0562,Primary Transit
423,K2-155 c,0.0205,0.232,0.0946,Primary Transit
424,K2-155 d,0.0154,0.17,0.1937,Primary Transit
425,K2-174 b,0.0289,0.232,0.126,Primary Transit
426,K2-18 b,0.02807,0.211,0.1429,Primary Transit
427,K2-180 b,0.036,0.206,0.0753,Primary Transit
428,K2-182 b,0.063,0.24,0.0526,Primary Transit
429,K2-19 b,0.1019,0.691,0.074,Primary Transit
430,K2-19 c,0.034,0.434,0.0971,Primary Transit
431,K2-19 d,0.031,0.102,0.0344,Primary Transit
432,K2-199 b,0.0217,0.1543,0.0382,Primary Transit
433,K2-199 c,0.039,0.2543,0.0662,Primary Transit
434,K2-2016-BLG-0005L b,1.1,,4.18,Microlensing
435,K2-216 b,0.02517,0.156,0.028,Primary Transit
436,K2-22 b,1.4,0.223,0.0088,Primary Transit
437,K2-222 b,0.025,0.2097,0.1211,Primary Transit
438,K2-229 b,0.00815,0.102,0.0131,Primary Transit
439,K2-229 c,0.067,0.181,0.0769,Primary Transit
440,K2-229 d,0.079,0.2364,0.182,Primary Transit
441,K2-231 b,0.0227,0.223,,Primary Transit
442,K2-232 b,0.398,1.0,0.10356,Primary Transit
443,K2-233 b,0.0104,0.125,0.03317,Primary Transit
444,K2-233 d,0.0261,0.236,0.1527,Primary Transit
445,K2-237 b,1.236,1.642,0.0353,Primary Transit
446,K2-238 b,0.86,1.3,0.046,Primary Transit
447,K2-239 b,0.0044,0.098,0.0441,Primary Transit
448,K2-239 c,0.0028,0.089,0.0576,Primary Transit
449,K2-239 d,0.0041,0.098,0.0685,Primary Transit
